,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Built_up_area,Carpet_area,Super_built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
0,house,bptp visionnaire,sector 70,5.25,20115.0,2610.0,Plot area 290(242.48 sq.m.),5,4,4,3.0,North-East,New Property,2609.0,,,0,1,0,0,0,unfurnished,53
1,house,independent,sector 43,2.1,38251.0,549.0,Plot area 61(51 sq.m.),10,10,4,5.0,West,New Property,549.0,,,0,1,0,0,0,unfurnished,26
2,house,independent,sector 54,5.0,43066.0,1161.0,Plot area 129(107.86 sq.m.),21,21,4,5.0,North,Relatively New,1161.0,,,0,1,0,0,0,semifurnished,53
3,house,independent,sector 43,3.0,53763.0,558.0,Plot area 62(51.84 sq.m.),12,12,4,5.0,West,New Property,558.0,,,0,0,0,0,1,semifurnished,26
4,house,independent,sector 43,4.5,39062.0,1152.0,Plot area 128(107.02 sq.m.),20,20,4,4.0,East,Relatively New,1152.0,,,0,1,0,0,0,semifurnished,26
5,house,emaar mgf marbella,sector 66,12.0,37037.0,3240.0,Plot area 360(301.01 sq.m.),5,5,4,3.0,East,New Property,3239.0,,,0,1,1,1,0,semifurnished,124
6,house,luxury dlf city floors,sector 26,20.0,48889.0,4091.0,Plot area 500(418.06 sq.m.),16,16,4,4.0,,New Property,4498.0,,,0,1,0,0,0,furnished,30
7,house,independent,sector 25,10.85,38150.0,2844.0,Plot area 316(264.22 sq.m.),6,6,1,3.0,North-East,Relatively New,2843.0,,,0,0,1,0,0,unfurnished,157
8,house,sushant lok 1 builder floors,sector 43,1.95,10077.0,1935.0,Plot area 215(179.77 sq.m.),3,4,4,4.0,West,New Property,1934.0,,,0,1,0,0,0,furnished,81
9,house,independent,sector 25,4.45,32963.0,1350.0,Plot area 150(125.42 sq.m.),4,3,4,2.0,West,Moderately Old,1350.0,,,0,0,1,0,0,unfurnished,104
10,house,independent,sector 28,9.0,27778.0,3240.0,Plot area 360(301.01 sq.m.),6,7,4,3.0,North,Moderately Old,3239.0,,,1,1,1,1,0,unfurnished,79
11,house,dlf city plots phase 3,sector 24,5.0,34083.0,1467.0,Plot area 163(136.29 sq.m.),13,13,4,4.0,North,New Property,1466.0,,,0,0,0,1,0,semifurnished,104
12,house,independent,sector 26,15.0,33200.0,4518.0,Plot area 502(419.74 sq.m.),5,6,4,3.0,North,Moderately Old,4516.0,,,1,1,1,1,0,furnished,89
13,house,independent,sector 43,8.25,30556.0,2700.0,Plot area 300(250.84 sq.m.),5,6,4,3.0,West,Moderately Old,2699.0,,,1,1,1,1,0,furnished,77
14,house,dlf city plots phase 2,sector 25,10.75,29861.0,3600.0,Plot area 400(334.45 sq.m.),9,9,4,3.0,South-West,Old Property,3599.0,,,0,1,1,1,0,unfurnished,72
15,house,independent,sector 38,2.1,23333.0,900.0,Plot area 100(83.61 sq.m.),7,7,4,3.0,North-East,Relatively New,900.0,,,1,0,1,1,0,unfurnished,27
16,house,unitech espace,sector 50,7.35,41762.0,1760.0,Plot area 240(200.67 sq.m.),4,4,4,3.0,South,Moderately Old,2159.0,,,0,1,0,1,0,semifurnished,52
17,house,independent,sector 49,4.45,15451.0,2880.0,Plot area 320(267.56 sq.m.),6,6,3,3.0,North,Moderately Old,2879.0,,,1,1,1,1,0,semifurnished,181
18,house,independent,sector 9,3.4,12938.0,2628.0,Plot area 292(244.15 sq.m.),9,9,3,3.0,West,Moderately Old,2627.0,,,0,0,0,0,0,furnished,66
19,house,emaar mgf marbella,sector 66,12.0,38095.0,3150.0,Plot area 350(292.64 sq.m.),5,6,4,3.0,North-East,Relatively New,3149.0,,,0,1,1,0,0,unfurnished,174
20,house,independent,sector 48,8.4,25926.0,3240.0,Plot area 360(301.01 sq.m.),4,4,3,2.0,,Old Property,3239.0,,,0,1,0,1,0,semifurnished,18
21,house,vipul tatvam villa,sector 48,8.5,26235.0,3240.0,Plot area 360(301.01 sq.m.),4,4,2,,East,Moderately Old,3239.0,,,0,1,1,1,0,unfurnished,100
22,house,independent,sector 25,7.6,38760.0,1961.0,Plot area 215(179.77 sq.m.),9,9,3,4.0,East,Relatively New,1934.0,,,1,0,1,1,0,semifurnished,89
23,house,ansal sushant lok plots,sector 43,7.0,25926.0,2700.0,Plot area 300(250.84 sq.m.),5,5,4,3.0,North-East,Relatively New,2699.0,,,1,1,0,1,0,semifurnished,47
24,house,grover homes sec 4,sector 4,4.75,9374.0,5067.0,Plot area 563(470.74 sq.m.),5,5,1,1.0,South-East,Old Property,5065.0,,,1,1,0,1,0,semifurnished,41
25,house,independent,sector 9,3.5,13410.0,2610.0,Plot area 290(242.48 sq.m.),9,9,4,3.0,North-East,Relatively New,2609.0,,,1,0,0,0,0,unfurnished,29
26,house,independent,sector 40,5.0,21124.0,2367.0,Plot area 263(219.9 sq.m.),9,9,4,3.0,North-West,Moderately Old,2366.0,,,0,1,1,0,0,furnished,83
27,house,independent,sector 50,10.56,32593.0,3240.0,Plot area 360(301.01 sq.m.),5,5,3,3.0,,Moderately Old,3239.0,,,0,1,0,0,0,unfurnished,19
28,house,ansal api esencia,sector 67,5.46,24170.0,2259.0,Plot area 251(209.87 sq.m.),4,5,4,2.0,East,Relatively New,2258.0,,,1,0,1,1,0,semifurnished,114
29,house,independent,sector 25,10.0,37037.0,2700.0,Plot area 300(250.84 sq.m.),5,6,3,3.0,North,Old Property,2699.0,,,0,1,1,0,0,semifurnished,74
30,house,independent,sector 25,9.0,28490.0,3159.0,Plot area 351(293.48 sq.m.),10,10,3,3.0,East,Old Property,3158.0,,,0,0,0,1,0,semifurnished,74
31,house,independent,sector 7,1.95,13542.0,1440.0,Plot area 160(133.78 sq.m.),2,2,2,2.0,,Old Property,1439.0,,,0,0,0,0,0,unfurnished,0
32,house,independent,sector 57,3.3,19097.0,1728.0,Plot area 192(160.54 sq.m.),4,4,2,3.0,South-East,Moderately Old,1727.0,,,0,0,1,0,0,semifurnished,57
33,house,floor wise designer kothi,sector 25,13.0,48148.0,2700.0,Plot area 300(250.84 sq.m.),12,16,4,4.0,North-East,New Property,2699.0,,,1,1,1,1,0,furnished,156
34,house,suncity essel towers,sector 28,6.0,22222.0,2700.0,Plot area 300(250.84 sq.m.),4,4,4,3.0,East,Old Property,2699.0,,,1,0,0,0,0,semifurnished,103
35,house,independent,sector 25,9.0,33333.0,2700.0,Plot area 300(250.84 sq.m.),5,5,3,3.0,North,Old Property,2699.0,,,1,1,1,1,0,unfurnished,60
36,house,independent,sector 26,5.8,32222.0,1800.0,Plot area 200(167.23 sq.m.),5,5,4,2.0,North,Old Property,1799.0,,,1,1,1,1,0,unfurnished,64
37,house,independent,sector 55,7.49,27741.0,2700.0,Plot area 300(250.84 sq.m.),12,12,4,4.0,South-East,Relatively New,2699.0,,,1,1,0,1,0,semifurnished,53
38,house,independent,sector 43,13.5,50000.0,2700.0,Plot area 300(250.84 sq.m.),16,16,4,4.0,North-West,Relatively New,2699.0,,,1,1,0,1,1,unfurnished,47
39,house,independent,sector 56,11.95,43534.0,2745.0,Plot area 305(255.02 sq.m.),12,12,4,4.0,West,Relatively New,2744.0,,,0,1,0,0,0,semifurnished,26
40,house,independent,sector 56,12.39,45889.0,2700.0,Plot area 300(250.84 sq.m.),16,18,4,4.0,North-East,New Property,2699.0,,,0,1,0,1,0,semifurnished,53
41,house,independent,sector 25,6.25,34722.0,1800.0,Plot area 200(167.23 sq.m.),5,5,3,2.0,East,Moderately Old,1799.0,,,0,1,0,1,0,semifurnished,133
42,house,emaar mgf marbella,sector 66,,,,Plot area 350(292.64 sq.m.),5,5,4,3.0,East,Relatively New,3149.0,,,1,1,0,1,0,semifurnished,189
43,house,bptp visionnaire,sector 70,5.4,20690.0,2610.0,Plot area 290(242.48 sq.m.),4,5,4,3.0,North,Relatively New,2609.0,,,1,1,1,1,0,unfurnished,157
44,house,independent,sector 43,5.75,29716.0,1935.0,Plot area 215(179.77 sq.m.),4,4,2,2.0,North,Old Property,1934.0,,,0,1,1,1,0,unfurnished,42
45,house,independent,sector 2,2.55,16378.0,1557.0,Plot area 173(144.65 sq.m.),3,3,2,2.0,South,Old Property,1556.0,,,0,0,0,0,0,unfurnished,6
46,house,independent,sector 2,5.6,17284.0,3240.0,Plot area 360(301.01 sq.m.),8,6,4,,South-West,Moderately Old,3239.0,,,1,1,1,1,0,unfurnished,0
47,house,independent,sector 45,17.0,37777.0,4500.0,Plot area 4500(418.06 sq.m.),5,8,4,3.0,North-East,Relatively New,4498.0,,,1,1,1,1,0,semifurnished,177
48,house,experion windchants,sector 112,7.99,12519.0,6382.0,Built Up area: 6382 (592.91 sq.m.),4,6,3,2.0,South-East,New Property,6382.0,,,0,1,1,1,0,unfurnished,154
49,house,uppal southend,sector 49,3.75,25562.0,1467.0,Plot area 163(136.29 sq.m.),6,6,3,3.0,East,Moderately Old,1466.0,,,0,0,0,0,1,unfurnished,46
50,house,vipul tatvam villa,sector 48,7.25,27971.0,2592.0,Plot area 288(240.8 sq.m.),3,4,2,2.0,South,Moderately Old,2591.0,,,1,1,1,1,0,furnished,139
51,house,vipul tatvam villa,sector 48,8.4,21000.0,4000.0,Plot area 4000(371.61 sq.m.),4,5,4,2.0,North,Moderately Old,3999.0,,,1,1,0,1,0,semifurnished,46
52,house,independent,sector 55,3.55,24500.0,1449.0,Plot area 161(134.62 sq.m.),4,4,4,2.0,,Old Property,1449.0,,,0,0,0,0,0,semifurnished,27
53,house,dlf new town heights,sector 86,2.5,7058.0,3542.0,Plot area 3400(315.87 sq.m.),4,4,4,3.0,East,Moderately Old,3399.0,,,1,1,1,1,0,semifurnished,168
54,house,independent,sector 40,2.1,23333.0,900.0,Plot area 900(83.61 sq.m.),3,3,2,3.0,North,Moderately Old,900.0,,,0,0,0,0,1,semifurnished,41
55,house,independent,sector 14,4.5,20000.0,2250.0,Carpet area: 2500 (232.26 sq.m.),5,5,1,1.0,,Relatively New,,2500.0,,0,0,0,0,0,unfurnished,0
56,house,independent,sector 43,6.5,35400.0,1836.0,Plot area 215(179.77 sq.m.)Built Up area: 215 sq.yards (179.77 sq.m.),5,4,4,3.0,South-East,Moderately Old,215.0,,,0,1,0,1,0,semifurnished,57
57,house,independent,sector 40,9.5,40135.0,2367.0,Plot area 263(219.9 sq.m.),12,12,4,4.0,,New Property,2366.0,,,0,0,1,0,0,unfurnished,61
58,house,independent,sector 23,5.0,16244.0,3078.0,Plot area 342(285.96 sq.m.),4,4,2,2.0,East,Old Property,3077.0,,,0,0,0,0,0,semifurnished,6
59,house,international city by sobha phase 1,sector 109,5.5,21605.0,2546.0,Plot area 270(225.75 sq.m.),4,4,4,2.0,North-East,New Property,2429.0,,,0,1,0,0,0,unfurnished,64
60,house,international city by sobha phase 2,sector 109,5.65,10463.0,5400.0,Plot area 600(501.68 sq.m.),4,4,4,2.0,North-East,New Property,5398.0,,,0,1,0,0,1,unfurnished,47
61,house,emaar mgf marbella,sector 66,8.8,41615.0,2115.0,Built Up area: 267 (223.25 sq.m.),4,4,4,3.0,South-East,Relatively New,267.0,,,0,1,1,1,0,unfurnished,121
62,house,independent,sector 4,3.25,14444.0,2250.0,Plot area 250(209.03 sq.m.),3,3,2,2.0,South-East,Old Property,2249.0,,,0,0,0,0,0,semifurnished,28
63,house,independent,sector 4,5.0,10101.0,4950.0,Plot area 550(459.87 sq.m.),3,3,2,1.0,North-East,Old Property,4948.0,,,0,0,0,0,0,semifurnished,22
64,house,independent,sector 50,10.45,38703.0,2700.0,Plot area 2700(250.84 sq.m.)Built Up area: 4000 sq.ft. (371.61 sq.m.),4,5,2,3.0,North,Moderately Old,4000.0,,,1,1,0,1,0,semifurnished,163
65,house,vipul tatvam villa,sector 48,19.5,22222.0,8775.0,Plot area 975(815.22 sq.m.),5,6,3,2.0,North,Moderately Old,8772.0,,,1,1,1,1,0,unfurnished,137
66,house,independent,sector 82,7.5,23148.0,3240.0,Plot area 360(301.01 sq.m.),5,5,4,2.0,East,Relatively New,3239.0,,,0,1,0,1,0,semifurnished,149
67,house,independent,laxma,0.67,8557.0,783.0,Plot area 87(72.74 sq.m.),3,2,1,1.0,South,Moderately Old,783.0,,,0,0,0,1,1,unfurnished,19
68,house,international city by sobha phase 1,sector 109,5.75,16428.0,3500.0,Plot area 272(25.27 sq.m.)Built Up area: 4800 sq.ft. (445.93 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),4,4,2,3.0,South-East,Relatively New,4800.0,3500.0,,0,1,0,0,0,unfurnished,160
69,house,international city by sobha phase 1,sector 109,5.7,10556.0,5400.0,Plot area 600(501.68 sq.m.),4,5,4,3.0,East,Relatively New,5398.0,,,1,1,1,1,0,semifurnished,189
70,house,independent,sector 9,3.2,13519.0,2367.0,Plot area 263(219.9 sq.m.),3,3,2,1.0,East,Old Property,2366.0,,,0,0,0,0,0,semifurnished,37
71,house,independent,sector 56,11.5,42032.0,2736.0,Plot area 304(254.18 sq.m.),12,13,4,4.0,West,Relatively New,2735.0,,,1,1,0,1,0,semifurnished,53
72,house,vipul tatvam villa,sector 48,7.69,24069.0,3195.0,Plot area 355(296.83 sq.m.),4,5,3,2.0,North-West,Moderately Old,3194.0,,,1,1,1,1,0,semifurnished,137
73,house,independent,sector 82,7.0,21605.0,3240.0,Plot area 360(301.01 sq.m.),4,4,4,1.0,North-East,Relatively New,3239.0,,,1,1,0,1,0,furnished,53
74,house,independent,sector 7,1.55,13889.0,1116.0,Plot area 120(100.34 sq.m.),2,2,2,1.0,East,Moderately Old,1080.0,,,0,0,0,0,0,furnished,57
75,house,independent,sector 7,3.85,14650.0,2628.0,Plot area 292(244.15 sq.m.),4,4,3,3.0,North-West,Old Property,2627.0,,,0,0,0,0,0,semifurnished,28
76,house,independent,sector 7,2.0,13889.0,1440.0,Plot area 160(133.78 sq.m.),2,2,2,2.0,North-West,Old Property,1439.0,,,0,0,0,0,0,furnished,22
77,house,independent,sector 7,3.1,13778.0,2250.0,Plot area 250(209.03 sq.m.),3,3,2,2.0,North-West,Old Property,2249.0,,,0,0,0,0,0,semifurnished,22
78,house,independent,sector 7,2.25,15625.0,1440.0,Plot area 160(133.78 sq.m.),3,3,2,2.0,North-West,Old Property,1439.0,,,0,0,0,0,0,furnished,28
79,house,independent,sector 50,7.0,23333.0,3000.0,Plot area 2400(222.97 sq.m.)Built Up area: 3400 sq.ft. (315.87 sq.m.)Carpet area: 3000 sq.ft. (278.71 sq.m.),4,4,2,3.0,North-East,Old Property,3400.0,3000.0,,0,1,0,0,0,unfurnished,138
80,house,vipul tatvam villa,sector 48,8.5,21250.0,4000.0,Plot area 4000(371.61 sq.m.),4,5,4,2.0,North,Moderately Old,3999.0,,,1,1,0,1,1,semifurnished,53
81,house,emaar mgf marbella,sector 66,8.7,38667.0,2250.0,Plot area 250(209.03 sq.m.)Built Up area: 267 sq.yards (223.25 sq.m.),4,5,2,3.0,East,New Property,267.0,,,1,1,0,0,0,unfurnished,174
82,house,international city by sobha phase 2,sector 109,12.5,26667.0,4687.0,Plot area 500(418.06 sq.m.),5,6,3,3.0,East,Relatively New,4498.0,,,1,1,1,1,0,unfurnished,74
83,house,international city by sobha phase 2,sector 109,6.8,12593.0,5400.0,Plot area 600(501.68 sq.m.),4,5,3,2.0,North-West,Relatively New,5398.0,,,0,1,0,0,0,unfurnished,53
84,house,international city by sobha phase 2,sector 109,9.5,26389.0,3600.0,Plot area 400(334.45 sq.m.),7,6,3,3.0,West,Relatively New,3599.0,,,1,1,0,1,0,unfurnished,162
85,house,international city by sobha phase 2,sector 109,7.0,12963.0,5400.0,Plot area 600(501.68 sq.m.),5,6,2,2.0,West,Relatively New,5398.0,,,0,1,0,0,0,unfurnished,168
86,house,international city by sobha phase 2,sector 109,6.2,25514.0,2430.0,Plot area 270(225.75 sq.m.),5,5,2,2.0,South-West,Relatively New,2429.0,,,0,1,0,0,0,unfurnished,160
87,house,huda sector-56 gurgaon,sector 56,3.6,24845.0,1449.0,Plot area 161(134.62 sq.m.),5,5,4,3.0,North-East,Moderately Old,1449.0,,,0,0,0,0,1,unfurnished,59
88,house,international city by sobha phase 1,sector 109,5.9,24280.0,2430.0,Plot area 270(225.75 sq.m.),4,5,2,2.0,East,Relatively New,2429.0,,,0,1,0,0,0,semifurnished,122
89,house,international city by sobha phase 1,sector 109,5.85,26423.0,2214.0,Plot area 246(205.69 sq.m.),4,5,4,2.0,East,Relatively New,2213.0,,,0,1,0,0,0,semifurnished,97
90,house,bptp visionnaire,sector 70,4.0,6666.0,6001.0,Plot area 6000(557.42 sq.m.),4,4,4,2.0,North-East,Relatively New,5998.0,,,0,1,0,0,0,unfurnished,183
91,house,bptp visionnaire,sector 70,5.35,8916.0,6000.0,Built Up area: 6000 (557.42 sq.m.),4,4,4,3.0,North,Relatively New,6000.0,,,1,1,1,1,0,furnished,180
92,house,independent,sector 25,6.6,36667.0,1800.0,Plot area 200(167.23 sq.m.),6,7,4,2.0,East,Moderately Old,1799.0,,,1,1,0,0,0,furnished,139
93,house,international city by sobha phase 1,sector 109,6.3,9000.0,7000.0,Built Up area: 7000 (650.32 sq.m.)Carpet area: 4500 sq.ft. (418.06 sq.m.),4,5,4,2.0,West,Relatively New,7000.0,4500.0,,0,0,0,0,0,semifurnished,139
94,house,international city by sobha phase 1,sector 109,12.0,20000.0,6000.0,Plot area 8000(743.22 sq.m.)Built Up area: 7000 sq.ft. (650.32 sq.m.)Carpet area: 6000 sq.ft. (557.42 sq.m.),5,6,3,2.0,North-East,Relatively New,7000.0,6000.0,,1,1,0,0,0,unfurnished,174
95,house,independent,sector 105,0.65,9028.0,720.0,Plot area 80(66.89 sq.m.),3,2,1,1.0,East,Relatively New,720.0,,,0,0,0,1,1,unfurnished,13
96,house,independent,laxma,0.55,4074.0,1350.0,Plot area 1350(125.42 sq.m.),3,3,2,2.0,South,Relatively New,1350.0,,,0,0,0,0,1,semifurnished,14
97,house,independent,laxma,0.85,630.0,13492.0,Plot area 1500(1254.19 sq.m.),3,3,1,1.0,North,Relatively New,13495.0,,,0,0,0,0,1,unfurnished,0
98,house,independent,laxma,0.58,86567.0,67.0,Plot area 67(6.22 sq.m.),2,2,1,2.0,West,Moderately Old,67.0,,,0,0,0,1,1,unfurnished,6
99,house,independent,laxma,0.65,92857.0,70.0,Plot area 70(6.5 sq.m.),1,1,1,1.0,South-East,Moderately Old,70.0,,,0,0,0,0,1,unfurnished,19
100,house,independent,laxma,0.61,100000.0,61.0,Plot area 61(5.67 sq.m.),2,2,2,2.0,South-East,Moderately Old,61.0,,,0,0,0,0,1,unfurnished,12
101,house,independent,laxma,0.67,88157.0,76.0,Plot area 76(7.06 sq.m.),3,3,2,2.0,South,Relatively New,76.0,,,0,0,0,0,1,unfurnished,7
102,house,ansal sushant lok plots,sector 43,5.8,29974.0,1935.0,Plot area 215(179.77 sq.m.),6,6,3,2.0,South-West,Relatively New,1934.0,,,0,1,0,0,1,semifurnished,53
103,house,international city by sobha phase 1,sector 109,6.0,24691.0,2430.0,Plot area 270(225.75 sq.m.),4,5,4,2.0,North,Relatively New,2429.0,,,0,1,0,0,0,semifurnished,117
104,house,independent,sector 57,6.25,2778.0,22498.0,Plot area 3100(2591.99 sq.m.)Built Up area: 2660 sq.yards (2224.1 sq.m.)Carpet area: 2500 sq.yards (2090.32 sq.m.),9,9,4,3.0,North-East,New Property,2660.0,2500.0,,0,1,0,0,0,semifurnished,63
105,house,private house,sector 55,7.05,46906.0,1503.0,Plot area 167(139.63 sq.m.),18,18,4,4.0,North-East,Relatively New,1502.0,,,0,0,0,0,1,semifurnished,70
106,house,independent,sector 11,4.5,25000.0,1800.0,Plot area 200(167.23 sq.m.),16,16,4,4.0,South,Relatively New,1799.0,,,0,0,0,0,0,semifurnished,26
107,house,independent,sector 31,3.69,23699.0,1557.0,Plot area 173(144.65 sq.m.),4,4,2,2.0,East,Moderately Old,1556.0,,,1,1,0,1,0,semifurnished,84
108,house,independent,sector 43,2.5,25960.0,963.0,Plot area 107(89.47 sq.m.),7,7,3,4.0,West,Relatively New,963.0,,,0,0,0,0,1,semifurnished,19
109,house,independent,sector 43,5.5,28424.0,1935.0,Plot area 215(179.77 sq.m.),1,1,0,1.0,South-West,Old Property,1934.0,,,0,0,0,0,1,unfurnished,13
110,house,unitech deerwood chase,sector 50,15.0,33333.0,4500.0,Plot area 500(418.06 sq.m.),4,4,2,2.0,West,Moderately Old,4498.0,,,0,1,0,0,0,unfurnished,189
111,house,unitech aspen greens,sector 50,6.95,4490.0,15479.0,Plot area 240(200.67 sq.m.)Built Up area: 2160 sq.yards (1806.04 sq.m.)Carpet area: 1720 sq.yards (1438.14 sq.m.),3,3,1,2.0,North-East,Moderately Old,2160.0,1720.0,,0,1,0,0,0,unfurnished,186
112,house,ansals palam vihar,sector 2,5.7,14729.0,3870.0,Plot area 430(359.53 sq.m.)Built Up area: 4550 sq.yards (3804.38 sq.m.)Carpet area: 4450 sq.yards (3720.77 sq.m.),5,5,2,2.0,North-East,Old Property,4550.0,4450.0,,0,0,0,1,0,furnished,108
113,house,international city by sobha phase 2,sector 109,11.3,25111.0,4500.0,Plot area 500(418.06 sq.m.)Built Up area: 480 sq.yards (401.34 sq.m.)Carpet area: 460 sq.yards (384.62 sq.m.),7,5,4,4.0,East,Relatively New,480.0,460.0,,1,1,0,1,1,unfurnished,53
114,house,international city by sobha phase 2,sector 109,11.25,25000.0,4500.0,Plot area 500(418.06 sq.m.),7,5,4,4.0,North-East,Relatively New,4498.0,,,1,1,0,1,0,unfurnished,40
115,house,bptp visionnaire,sector 70,4.02,7309.0,5500.0,Built Up area: 5500 (510.97 sq.m.),4,4,4,3.0,North-East,Relatively New,5500.0,,,1,1,1,1,0,unfurnished,158
116,house,international city by sobha phase 1,sector 109,5.7,10556.0,5400.0,Plot area 600(501.68 sq.m.),4,4,4,4.0,East,Relatively New,5398.0,,,1,1,0,0,0,unfurnished,113
117,house,independent,sector 12,1.0,74074.0,135.0,Plot area 135(12.54 sq.m.)Built Up area: 3750 sq.ft. (348.39 sq.m.),9,7,4,3.0,North,Moderately Old,3750.0,,,0,0,1,1,0,unfurnished,12
118,house,independent,sector 7,0.66,12000.0,550.0,Plot area 550(51.1 sq.m.),3,1,1,3.0,East,Relatively New,550.0,,,0,0,0,0,1,unfurnished,19
119,house,huda ashok vihar phase,laxma,0.7,10233.0,684.0,Plot area 684(63.55 sq.m.),3,2,1,2.0,North-East,New Property,684.0,,,1,0,0,0,0,unfurnished,7
120,house,independent,sector 24,1.45,26852.0,540.0,Plot area 60(50.17 sq.m.),3,3,1,,,Old Property,540.0,,,0,0,0,0,0,unfurnished,9
121,house,ashok vihar phase 3 gurgaon,sector 3,0.95,8878.0,1070.0,Plot area 1070(99.41 sq.m.),4,3,2,1.0,East,Old Property,1070.0,,,0,0,0,0,0,unfurnished,6
122,house,independent,sector 3,0.9,8928.0,1008.0,Built Up area: 1008 (93.65 sq.m.),3,1,0,1.0,,Undefined,1008.0,,,0,0,0,0,0,unfurnished,0
123,house,independent,sector 41,7.0,28283.0,2475.0,Plot area 275(229.94 sq.m.),7,7,4,3.0,South-West,Moderately Old,2474.0,,,1,1,1,1,0,semifurnished,171
124,house,independent,sector 17,3.93,24214.0,1623.0,Plot area 1623(150.78 sq.m.)Built Up area: 1622 sq.ft. (150.69 sq.m.),19,17,3,4.0,North-West,Relatively New,1622.0,,,1,1,1,1,0,unfurnished,84
125,house,independent,sector 56,4.0,26613.0,1503.0,Plot area 167(139.63 sq.m.),4,4,4,2.0,,Relatively New,1502.0,,,0,0,0,0,0,semifurnished,21
126,house,independent,sector 7,0.9,10000.0,900.0,Plot area 100(83.61 sq.m.),6,4,3,3.0,North-East,Old Property,900.0,,,0,1,0,0,1,unfurnished,42
127,house,independent,sector 24,2.75,7666.0,3587.0,Built Up area: 3000 (278.71 sq.m.),7,7,4,3.0,North-East,Moderately Old,3000.0,,,0,0,0,0,1,semifurnished,0
128,house,prem kunj,sohna road,0.5,7407.0,675.0,Plot area 675(62.71 sq.m.)Built Up area: 725 sq.ft. (67.35 sq.m.)Carpet area: 675 sq.ft. (62.71 sq.m.),5,4,3,3.0,South-West,Relatively New,725.0,675.0,,0,0,0,1,0,unfurnished,28
129,house,independent,sector 6,0.5,8333.0,600.0,Plot area 600(55.74 sq.m.),3,3,2,2.0,East,Moderately Old,600.0,,,0,0,0,1,0,unfurnished,0
130,house,independent,sector 105,0.6,13333.0,450.0,Built Up area: 450 (41.81 sq.m.),3,3,0,3.0,,Undefined,450.0,,,0,0,0,0,0,unfurnished,0
131,house,independent,sector 3,0.5,11111.0,450.0,Plot area 450(41.81 sq.m.),5,3,3,3.0,,Moderately Old,450.0,,,0,0,0,0,0,unfurnished,0
132,house,independent,sector 105,0.35,7778.0,450.0,Carpet area: 500 (46.45 sq.m.),2,2,1,2.0,East,Undefined,,500.0,,0,0,0,0,0,unfurnished,0
133,house,dlf city plots,sector 26,4.0,40775.0,981.0,Plot area 109(91.14 sq.m.),4,3,2,2.0,,Relatively New,981.0,,,0,0,0,0,0,semifurnished,0
134,house,not applicable,sector 11,2.2,12222.0,1800.0,Plot area 1800(167.23 sq.m.),4,3,2,1.0,South,Old Property,1799.0,,,1,0,0,1,0,unfurnished,22
135,house,independent,manesar,1.1,6172.0,1782.0,Plot area 1782(165.55 sq.m.),8,8,0,1.0,,New Property,1781.0,,,0,0,0,0,0,unfurnished,0
136,house,independent,sector 7,8.0,22222.0,3600.0,Plot area 400(334.45 sq.m.),4,5,4,1.0,North-East,Old Property,3599.0,,,1,1,0,1,0,semifurnished,28
137,house,independent,sector 8,0.82,9111.0,900.0,Plot area 100(83.61 sq.m.),4,3,3,2.0,North,Moderately Old,900.0,,,0,0,0,0,0,unfurnished,12
138,house,independent,sector 3,0.9,80357.0,112.0,Built Up area: 112 (10.41 sq.m.),3,3,0,2.0,,Undefined,112.0,,,0,0,0,0,0,unfurnished,0
139,house,independent,maruti kunj,0.7,4117.0,1700.0,Plot area 1700(157.94 sq.m.),4,4,1,2.0,,Moderately Old,1699.0,,,0,0,0,0,0,unfurnished,0
140,house,independent,sector 11,0.95,7308.0,1300.0,Built Up area: 1300 (120.77 sq.m.),5,3,0,1.0,,Undefined,1300.0,,,0,0,0,0,0,unfurnished,0
141,house,housing board colony,sector 28,3.5,25926.0,1350.0,Plot area 150(125.42 sq.m.),6,6,3,3.0,,Relatively New,1350.0,,,0,0,0,0,0,unfurnished,0
142,house,independent,manesar,0.8,6666.0,1200.0,Plot area 1200(111.48 sq.m.),8,8,2,1.0,,Relatively New,1200.0,,,0,0,0,0,0,unfurnished,0
143,house,independent,sector 26,6.0,33333.0,1800.0,Plot area 200(167.23 sq.m.),8,5,4,3.0,,Old Property,1799.0,,,0,0,0,0,0,unfurnished,9
144,house,shivpuri,sector 7,2.8,12444.0,2250.0,Plot area 2250(209.03 sq.m.),10,7,3,1.0,,Old Property,2249.0,,,1,1,0,1,1,semifurnished,0
145,house,ansal heights,sector 92,2.75,9793.0,2808.0,Plot area 312(260.87 sq.m.)Built Up area: 5000 sq.yards (4180.64 sq.m.),4,4,4,3.0,,Relatively New,5000.0,,,1,0,0,1,0,unfurnished,0
146,house,spaze privy,sector 72,3.1,8486.0,3653.0,Plot area 3653(339.37 sq.m.),5,5,4,21.0,,Relatively New,3652.0,,,0,0,0,0,0,unfurnished,0
147,house,independent,sector 7,1.16,11717.0,990.0,Carpet area: 110 (91.97 sq.m.),5,4,2,1.0,North-East,Undefined,,110.0,,0,0,0,0,0,unfurnished,0
148,house,signature global park,sohna road,0.85,7589.0,1120.0,Built Up area: 1120 (104.05 sq.m.),3,2,2,1.0,,Under Construction,1120.0,,,0,0,0,0,0,unfurnished,13
