,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Built_up_area,Carpet_area,Super_built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
2132,flat,shapoorji pallonji joyville gurugram,sector 102,1.9,10259.0,1852.0,Super Built up area 1852(172.06 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3,3,4,15.0,North-East,New Property,1700.0,1450.0,1852.0,0,0,0,1,0,unfurnished,216
2133,flat,bestech park view sanskruti,sector 92,1.6,8020.0,1995.0,Super Built up area 1995(185.34 sq.m.)Built Up area: 1615 sq.ft. (150.04 sq.m.)Carpet area: 1476 sq.ft. (137.12 sq.m.),3,4,4,10.0,North-West,Relatively New,1615.0,1476.0,1995.0,0,1,0,0,1,semifurnished,216
2134,flat,emaar mgf the palm drive,sector 66,3.0,14285.0,2100.0,Super Built up area 2100(195.1 sq.m.),4,5,4,10.0,East,Relatively New,,,2100.0,0,1,0,0,0,semifurnished,53
2135,flat,ireo the grand arch,sector 58,2.2,16000.0,1375.0,Super Built up area 1375(127.74 sq.m.),2,2,2,6.0,North-East,Relatively New,,,1375.0,0,0,0,0,0,unfurnished,47
2136,flat,experion windchants,sector 112,5.2,10726.0,4848.0,Super Built up area 4848(450.39 sq.m.)Built Up area: 3655.35 sq.ft. (339.59 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),4,6,4,15.0,East,Relatively New,3655.35,3500.0,4848.0,0,1,0,1,0,semifurnished,223
2137,flat,dlf regency park,sector 28,2.35,13224.0,1777.0,Super Built up area 1777(165.09 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,4,3,8.0,South-East,Old Property,1700.0,1600.0,1777.0,0,1,0,0,0,semifurnished,139
2138,flat,emaar mgf emerald floors premier,sector 65,2.77,14025.0,1975.0,Carpet area: 1975 (183.48 sq.m.),4,4,4,3.0,North-East,Relatively New,,1975.0,,1,1,0,0,0,unfurnished,223
2139,flat,emaar mgf emerald floors premier,sector 65,2.7,16363.0,1650.0,Carpet area: 1650 (153.29 sq.m.),3,3,3,5.0,North-West,Relatively New,,1650.0,,0,1,1,0,0,semifurnished,143
2140,flat,emaar mgf emerald floors premier,sector 65,2.35,14242.0,1650.0,Carpet area: 1650 (153.29 sq.m.),3,3,3,3.0,East,Relatively New,,1650.0,,1,1,0,0,0,semifurnished,170
2141,flat,emaar mgf emerald floors premier,sector 65,2.79,14126.0,1975.0,Carpet area: 1975 (183.48 sq.m.),4,4,4,2.0,South-West,Relatively New,,1975.0,,1,1,0,0,0,unfurnished,216
2142,flat,emaar mgf emerald floors premier,sector 65,2.3,13939.0,1650.0,Carpet area: 1650 (153.29 sq.m.),3,4,3,3.0,South-West,Relatively New,,1650.0,,1,1,1,1,0,unfurnished,216
2143,flat,the lions cghs,sector 56,2.1,8750.0,2400.0,Super Built up area 2400(222.97 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3,4,4,8.0,West,Old Property,2200.0,2000.0,2400.0,0,0,0,0,1,semifurnished,207
2144,flat,rail vihar cghs,sector 56,1.35,10384.0,1300.0,Super Built up area 1300(120.77 sq.m.)Built Up area: 1275 sq.ft. (118.45 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),3,2,2,1.0,West,Old Property,1275.0,1250.0,1300.0,0,0,0,0,1,unfurnished,201
2145,flat,puri emerald bay,sector 104,2.23,9911.0,2250.0,Super Built up area 2450(227.61 sq.m.)Carpet area: 2250 sq.ft. (209.03 sq.m.),3,4,4,10.0,East,Relatively New,,2250.0,2450.0,0,1,0,0,0,semifurnished,201
2146,flat,experion the heartsong,sector 108,2.08,9904.0,2100.0,Built Up area: 2631 (244.43 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),4,4,4,3.0,East,Relatively New,2631.0,2100.0,,0,1,0,0,0,unfurnished,154
2147,flat,experion the heartsong,sector 108,1.3,8344.0,1558.0,Super Built up area 1758(163.32 sq.m.)Carpet area: 1558 sq.ft. (144.74 sq.m.),3,3,4,7.0,South-West,Relatively New,,1558.0,1758.0,1,0,0,0,0,semifurnished,192
2148,flat,suncity avenue,sector 102,0.48,9022.0,532.0,Super Built up area 632(58.71 sq.m.)Carpet area: 532 sq.ft. (49.42 sq.m.),2,2,1,5.0,North-East,Relatively New,,532.0,632.0,0,0,1,0,0,semifurnished,201
2149,flat,sobha city,sector 108,2.33,14463.0,1611.0,Built Up area: 1711 (158.96 sq.m.)Carpet area: 1611 sq.ft. (149.67 sq.m.),3,3,3,17.0,North-East,Relatively New,1711.0,1611.0,,0,0,1,0,0,semifurnished,201
2150,flat,parsvnath green ville,sector 48,1.75,7201.0,2430.0,Super Built up area 2430(225.75 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3,3,3,7.0,South,Old Property,2200.0,1800.0,2430.0,0,1,0,0,0,semifurnished,147
2151,flat,parsvnath green ville,sector 48,1.6,8376.0,1910.0,Super Built up area 1910(177.44 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,3,3,13.0,North-West,Old Property,1700.0,1600.0,1910.0,0,0,0,0,1,unfurnished,144
2152,flat,parsvnath green ville,sector 48,1.5,8787.0,1707.0,Super Built up area 1707(158.59 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,1.0,North,Old Property,1600.0,1400.0,1707.0,0,0,0,0,0,semifurnished,154
2153,flat,orchid petals,sector 49,1.9,10526.0,1805.0,Super Built up area 1805(167.69 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,2.0,South,Old Property,1600.0,1400.0,1805.0,0,0,0,0,1,semifurnished,53
2154,flat,ireo skyon,sector 60,3.7,13214.0,2800.0,Super Built up area 2800(260.13 sq.m.),4,5,3,10.0,South,Relatively New,,,2800.0,0,1,0,0,0,semifurnished,208
2155,flat,ireo skyon,sector 60,3.75,13392.0,2800.0,Super Built up area 2800(260.13 sq.m.),4,5,3,15.0,South,Relatively New,,,2800.0,0,1,0,0,0,unfurnished,211
2156,flat,m3m merlin,sector 67,3.4,14418.0,2358.0,Super Built up area 2358(219.07 sq.m.)Carpet area: 1900 sq.ft. (176.52 sq.m.),3,4,3,15.0,South,Relatively New,,1900.0,2358.0,0,1,0,0,0,semifurnished,140
